Imię,Nazwisko,Klasa,J. polski,J. angielski,Matematyka,Historia,WF
Leonardo,Dąbrowski,3A,2,5,5,2,4
Ryszard,Wasilewska,6A,5,4,5,3,5
Paweł,Mazur,4C,2,5,5,2,1
Joachim,Baranowski,6A,3,1,4,1,3
Amir,Zawadzki,7B,5,2,3,5,3
Klaudiusz,Szulc,2E,1,2,2,4,1
Olaf,Kaźmierczak,7F,1,4,2,5,4
Ignacy,Borkowski,1C,3,5,3,2,2
Anastazy,Zawadzki,8A,2,1,5,4,3
Andrzej,Sadowska,7B,5,5,3,1,2
Marcel,Mazur,6C,1,2,3,3,3
Czesław,Szymczak,5D,1,2,2,3,3
Amir,Zalewski,1F,4,3,4,3,2
Korneliusz,Kołodziej,3D,2,1,3,1,5
Alex,Kucharski,8D,4,5,5,3,4
Bartosz,Laskowska,6D,5,5,4,1,5
Julian,Baran,2E,2,4,5,1,5
Ksawery,Jakubowski,3F,1,4,4,1,2
Mirosław,Ostrowski,2A,3,2,5,5,1
Robert,Jaworski,1F,1,3,4,3,3
Dariusz,Kaczmarczyk,4F,2,1,5,5,2
Mariusz,Głowacka,3F,1,2,4,5,5
Julian,Zieliński,3A,1,3,5,2,3
Amir,Andrzejewski,4A,2,2,3,1,3
Krzysztof,Krajewska,6F,1,5,3,4,4
Heronim,Walczak,4A,4,5,3,5,4
Hubert,Mazurek,5A,2,2,5,3,3
Aureliusz,Adamska,3C,2,4,1,5,4
Bolesław,Lewandowski,4D,2,2,5,4,1
Bruno,Adamska,7C,5,2,1,4,1
Andrzej,Rutkowski,1E,4,5,3,5,2
Kewin,Sadowska,7F,4,5,5,4,2
Dariusz,Dąbrowski,4A,5,1,1,5,1
Bartłomiej,Wojciechowski,7B,4,1,5,1,1
Allan,Kaczmarczyk,2C,5,5,3,1,1
Alek,Sobczak,3B,5,1,2,5,5
Albert,Andrzejewski,5B,5,5,5,2,3
Florian,Wysocki,2F,5,4,4,4,3
Eustachy,Tomaszewski,7B,5,2,3,1,3
Allan,Tomaszewski,2E,5,1,3,1,1
Filip,Makowski,2E,4,1,2,4,1
Oktawian,Malinowski,7C,5,1,4,5,1
Rafał,Górecki,6B,5,2,2,5,2
Kazimierz,Makowski,6B,5,5,3,5,2
Emanuel,Lis,4B,3,2,5,4,2
Maksymilian,Maciejewski,7D,5,2,5,3,4
Dorian,Kubiak,4B,4,2,4,3,4
Aureliusz,Szymczak,2F,1,5,4,2,4
Maurycy,Brzeziński,8F,5,5,1,5,3
Jan,Lis,8F,4,2,1,4,1
Arkadiusz,Adamska,7C,3,4,1,5,2
Konstanty,Kamiński,1C,5,1,5,2,4
Florian,Witkowski,7C,3,1,2,4,4
Albert,Lis,6B,5,2,5,3,3
Franciszek,Zawadzki,2D,2,2,1,4,5
Cyprian,Kowalski,7F,2,3,1,2,4
Paweł,Przybylski,7E,3,5,1,4,5
Klaudiusz,Mazur,2E,5,2,5,4,4
Cyprian,Urbańska,7E,2,5,1,3,3
Mikołaj,Sikorska,1D,1,4,2,3,1
Jacek,Andrzejewski,5B,2,3,1,2,1
Marian,Kowalski,2E,1,2,5,5,3
Janusz,Wojciechowski,7F,1,4,4,3,1
Dorian,Kowalczyk,7C,1,3,5,3,5
Gabriel,Kaczmarczyk,8A,5,4,2,2,1
Jarosław,Brzeziński,8F,1,2,5,2,4
Mikołaj,Baranowski,8E,3,2,2,2,5
Bruno,Głowacka,8E,5,1,1,2,1
Gracjan,Sikorska,3E,5,1,4,1,5
Albert,Urbańska,2F,4,5,5,5,4
Julian,Błaszczyk,4D,3,5,3,2,2
Olgierd,Kozłowski,2F,1,1,3,5,4
Paweł,Pietrzak,4B,1,4,4,2,5
Mikołaj,Kaczmarczyk,8C,5,2,2,1,5
Michał,Andrzejewski,7A,4,3,2,1,1
Albert,Ostrowski,3B,2,5,4,3,4
Kacper,Zawadzki,4C,2,3,4,3,1
Miron,Czerwiński,5A,5,1,1,5,3
Jan,Pawlak,5C,4,5,3,4,3
Ludwik,Czerwiński,2B,3,5,5,5,3
Mieszko,Jasiński,2F,2,2,1,5,4
Marcel,Przybylski,3D,3,5,5,4,3
Oskar,Ostrowski,2D,3,2,1,4,1
Diego,Mróz,5B,4,2,1,5,2
Heronim,Andrzejewski,8F,4,1,4,4,1
Natan,Gajewska,3C,2,3,1,5,1
Paweł,Borkowski,6D,3,2,5,5,2
Aleks,Tomaszewski,5B,1,3,3,5,1
Kordian,Lewandowski,6C,5,5,4,3,4
Janusz,Kwiatkowski,2F,4,3,3,3,4
Alfred,Sawicki,2F,2,4,1,1,1
Ksawery,Witkowski,4E,5,5,5,3,2
Kamil,Piotrowski,6A,4,5,5,3,3
Bogumił,Sadowska,1A,2,3,2,1,4
Martin,Michalak,7E,3,3,5,5,4
Natan,Sikorska,6C,5,4,1,2,4
Dawid,Szulc,1F,1,5,3,4,4
Miron,Marciniak,6F,4,2,4,3,5
Arkadiusz,Kaczmarczyk,5A,2,2,5,1,3
Korneliusz,Wójcik,5C,5,5,4,2,2
Aleksy,Kaczmarczyk,4E,3,5,2,5,1
Joachim,Kaczmarczyk,4A,5,2,5,3,2
Eustachy,Tomaszewski,2B,1,3,5,2,2
Janusz,Ziółkowska,1A,5,3,1,3,3
Fabian,Krawczyk,1C,3,4,5,1,3
Alan,Wysocki,8F,1,5,4,2,1
Allan,Chmielewski,2D,1,3,3,5,4
Edward,Szymczak,2B,2,5,2,4,5
Czesław,Szewczyk,5B,4,4,1,1,4
Maciej,Pawlak,2E,4,5,3,2,2
Konstanty,Kucharski,4D,3,2,2,3,1
Antoni,Michalak,1D,2,1,5,4,2
Franciszek,Sawicki,8D,2,5,3,4,4
Paweł,Pietrzak,2A,2,3,4,4,3
Alex,Urbańska,6F,2,4,5,2,3
Krystian,Walczak,5F,3,4,3,1,1
Eugeniusz,Górecki,2E,3,1,1,3,1
Ariel,Woźniak,5A,3,2,3,4,5
Kornel,Piotrowski,7E,5,1,1,3,3
Bogumił,Sokołowski,5F,3,5,4,1,2
Remigiusz,Makowski,8F,2,3,5,1,5
Klaudiusz,Bąk,3C,4,2,5,2,3
Amir,Marciniak,1D,2,2,5,4,2
Fryderyk,Gajewska,5D,4,1,2,5,5
Natan,Sokołowski,6D,3,5,4,2,2
Leonardo,Wiśniewski,5B,5,4,5,5,3
Julian,Marciniak,8E,4,5,2,5,4
Jędrzej,Szymański,5F,4,4,5,2,4
Fryderyk,Zalewski,8B,2,5,2,5,3
Roman,Laskowska,3D,5,4,2,1,5
Oskar,Jakubowski,6D,1,2,4,5,2
Piotr,Walczak,1D,3,5,3,4,3
Mirosław,Woźniak,1F,5,5,1,4,1
Błażej,Bąk,8B,4,2,5,5,5
Milan,Krupa,7E,2,5,5,5,2
Daniel,Mróz,4B,2,1,5,1,3
Kewin,Woźniak,3D,4,5,3,4,3
Karol,Jankowski,6B,3,4,4,2,4
Amadeusz,Kowalski,2A,2,2,5,1,3
Ksawery,Jankowski,6A,3,1,2,5,3
Bartłomiej,Jasiński,7F,5,1,5,5,2
Korneliusz,Szymczak,3D,5,1,1,3,2
Piotr,Wasilewska,2C,3,3,5,2,3
Kryspin,Kubiak,2E,5,4,4,3,4
Antoni,Sokołowski,1E,3,4,5,1,4
Borys,Górski,3E,5,3,5,5,1
Konstanty,Kowalski,4C,4,3,4,5,5
Aleks,Głowacka,8B,4,3,5,5,3
Remigiusz,Lewandowski,3E,5,3,5,3,4
Alex,Sobczak,4E,3,3,5,3,3
Krzysztof,Kucharski,7A,5,2,1,2,4
Olaf,Krajewska,1C,3,3,2,2,5
Mikołaj,Jankowski,5F,3,5,3,4,3
Radosław,Lis,4B,2,4,2,5,2
Cezary,Kowalczyk,6C,2,4,1,5,4
Patryk,Sikora,7F,5,5,4,1,1
Korneliusz,Duda,2C,3,5,3,5,2
Remigiusz,Wróblewski,3D,3,1,4,4,4
Alexander,Zakrzewska,2B,1,4,1,5,2
Henryk,Szymański,3C,1,1,5,4,1
Hubert,Wojciechowski,5C,3,1,5,2,4
Konstanty,Malinowski,1D,2,1,5,2,5
Ernest,Sawicki,4E,3,3,4,5,1
Alex,Wojciechowski,8F,3,5,4,2,2
Mateusz,Wiśniewski,7F,2,5,2,4,1
Ryszard,Krajewska,2B,5,1,3,2,3
Janusz,Głowacka,5D,4,2,4,4,1
Bruno,Sokołowski,4C,3,4,1,3,2
Dominik,Urbańska,2A,4,5,1,2,2
Albert,Makowski,8D,3,3,5,3,3
Allan,Włodarczyk,6C,1,2,1,1,1
Eryk,Wysocki,5B,3,1,5,3,1
Klaudiusz,Zalewski,2E,2,5,5,2,4
Mirosław,Sikorska,3E,5,1,2,2,2
Mieszko,Sawicki,8F,3,4,4,1,5
Łukasz,Szewczyk,8F,1,3,4,4,2
Miron,Kalinowski,4F,1,4,5,4,4
Artur,Malinowski,4B,5,2,4,2,3
Adam,Kaźmierczak,1E,1,5,1,5,1
Ryszard,Ziółkowska,2C,3,5,3,5,2
Bartosz,Gajewska,1F,3,1,5,3,4
Ireneusz,Kołodziej,8F,3,5,2,1,2
Cezary,Górski,5E,4,2,2,3,1
Heronim,Makowski,2C,3,1,4,2,3
Julian,Kamiński,2B,3,1,3,3,4
Jarosław,Duda,6A,4,5,3,4,4
Artur,Borkowski,8B,1,2,2,2,2
Mariusz,Borkowski,8F,4,5,4,4,4
Dorian,Marciniak,8E,4,2,2,1,4
Ludwik,Adamska,7A,5,3,4,1,2
Marian,Kowalczyk,6F,5,2,3,4,1
Leszek,Witkowski,3A,1,1,4,2,4
Alfred,Kozłowski,4E,1,4,5,4,1
Piotr,Krawczyk,3A,5,3,3,3,4
Leszek,Pawlak,3F,4,2,3,2,3
Henryk,Szulc,5F,5,4,5,2,3
Jakub,Jasiński,8A,5,1,3,4,4
Konrad,Sikora,3F,3,4,5,3,3
Olaf,Zalewski,7C,3,4,5,3,5
Kordian,Szczepański,5F,3,5,1,1,4
Patryk,Czerwiński,5A,1,4,3,4,4
Filip,Szymański,1C,5,3,5,2,5
Anatol,Dąbrowski,3E,1,2,4,2,5
Adrian,Lis,5F,2,1,1,5,1
Eugeniusz,Wiśniewski,1E,2,3,2,4,5
Jędrzej,Adamska,2B,2,1,4,1,3
Cezary,Włodarczyk,7B,5,2,4,3,1
Alex,Sikorska,3D,3,4,4,4,2
Albert,Jakubowski,8A,1,2,1,3,1
Artur,Szymański,7F,2,1,2,3,5
Aleks,Ziółkowska,1F,4,5,3,1,1
Kuba,Pawlak,6E,5,2,2,2,2
Dariusz,Zakrzewska,1F,2,3,5,4,5
Bartosz,Sikora,3F,2,3,5,1,2
Ignacy,Cieślak,5E,2,1,2,1,3
Emanuel,Kozłowski,5D,1,5,1,4,3
Emanuel,Cieślak,7F,2,2,3,5,1
Kazimierz,Witkowski,6C,5,2,1,2,5
Oktawian,Piotrowski,2E,3,2,4,2,5
Klaudiusz,Jakubowski,5E,5,4,5,5,5
Bartłomiej,Krajewska,7C,4,3,1,5,2
Bartosz,Sobczak,8A,1,1,2,3,3
Edward,Kwiatkowski,2E,4,1,3,3,4
Filip,Szczepański,5C,2,4,2,2,2
Przemysław,Laskowska,4D,5,2,3,2,2
Cyprian,Głowacka,1E,4,4,3,4,4
Antoni,Walczak,7A,1,2,2,3,3
Karol,Błaszczyk,5C,3,2,3,2,4
Juliusz,Wróblewski,6E,2,4,2,2,3
Maurycy,Kwiatkowski,6F,5,4,2,5,3
Mikołaj,Kowalski,1E,2,1,1,4,4
Leszek,Przybylski,7D,5,5,2,1,5
Piotr,Baranowski,2B,1,1,5,1,5
Marian,Zakrzewska,8A,4,4,1,4,5
Dominik,Malinowski,6B,4,2,4,1,5
Bartosz,Krajewska,8A,4,3,4,4,1
Edward,Sikora,3F,5,5,2,5,2
Mirosław,Wojciechowski,1C,2,5,4,2,3
Adam,Zalewski,6D,1,1,4,4,2
Olaf,Marciniak,8F,5,5,3,3,3
Maciej,Wojciechowski,1F,3,3,5,2,1
Remigiusz,Sikora,6C,1,1,3,4,3
Remigiusz,Górski,8F,2,4,3,2,3
Marek,Chmielewski,4F,5,2,2,1,4
Ludwik,Mazur,7F,1,4,3,3,3
Juliusz,Włodarczyk,2A,3,5,5,5,2
Dominik,Kowalski,7F,2,4,3,2,1
Marcin,Chmielewski,5E,5,1,2,2,2
Robert,Wysocki,2A,4,5,4,5,1
Przemysław,Piotrowski,1F,2,3,3,4,3
Krzysztof,Walczak,2E,5,3,5,5,4
Aureliusz,Szulc,5E,3,4,2,3,1
Kewin,Szewczyk,7A,2,1,3,5,5
Maciej,Zalewski,6B,5,3,4,1,4
Adam,Urbańska,4E,4,5,2,3,1
Arkadiusz,Maciejewski,8F,4,4,4,5,1
Bartosz,Lis,1B,3,3,4,1,4
Kordian,Baran,4F,4,4,3,4,5
Miron,Borkowski,4A,4,3,5,3,1
Remigiusz,Chmielewski,6B,3,1,3,3,2
Albert,Lis,1D,3,1,5,4,3
Ryszard,Woźniak,5D,5,5,4,2,1
Dobromił,Jakubowski,7B,3,1,1,1,5
Eugeniusz,Zakrzewska,4F,2,1,5,1,1
Ludwik,Ostrowski,7B,3,3,2,5,5
Alek,Jasiński,6C,1,5,1,2,2
Konrad,Kamiński,8F,3,1,2,4,5
Rafał,Brzeziński,4C,2,5,4,1,4
Alojzy,Nowak,7F,4,5,4,4,5
Rafał,Sokołowski,3F,5,5,2,1,4
Radosław,Ostrowski,1C,5,3,5,4,1
Przemysław,Kowalczyk,1A,1,5,2,5,2
Kornel,Kozłowski,6A,3,1,3,2,5
Robert,Szymański,3B,1,2,2,5,2
Ludwik,Krawczyk,2F,1,3,4,3,3
Oktawian,Marciniak,6F,2,2,2,2,2
Joachim,Czarnecki,7C,3,1,1,1,1
Alfred,Jakubowski,5C,4,3,1,4,4
Oktawian,Krawczyk,2E,5,1,3,1,4
Janusz,Zawadzki,8D,2,1,2,5,5
Allan,Gajewska,7A,1,4,3,5,5
Dorian,Szymczak,6D,2,3,5,5,3
Oktawian,Kwiatkowski,7C,2,4,3,2,3
Klaudiusz,Krawczyk,6C,2,3,1,2,4
Piotr,Szulc,5A,1,5,2,4,5
Juliusz,Zieliński,6C,5,4,4,4,4
Korneliusz,Mróz,7D,5,2,3,3,4
Eustachy,Zawadzki,2A,1,2,1,1,1
Dobromił,Sikorska,3F,1,4,5,4,4
Błażej,Sawicki,5E,1,1,4,2,3
Kacper,Kalinowski,2C,2,4,3,5,1
Oskar,Dąbrowski,6C,4,3,4,2,3
Fabian,Jasiński,8F,1,3,4,5,4
Kajetan,Nowak,3D,1,1,1,4,4
Kewin,Jakubowski,7C,2,2,1,4,1
Kuba,Zakrzewska,8B,3,3,4,1,1
Jacek,Mróz,5D,1,5,2,5,3
Daniel,Woźniak,2F,5,2,4,1,2
Ludwik,Walczak,4A,3,4,1,3,3
Klaudiusz,Szczepański,3D,2,4,5,5,3
Kajetan,Górecki,2F,3,3,4,5,1
Eugeniusz,Wojciechowski,2A,4,1,1,4,1
Olgierd,Krajewska,5F,3,5,2,5,1
Konstanty,Wróblewski,3B,2,1,4,4,2
Alojzy,Kaczmarczyk,4A,5,5,3,1,1
Albert,Adamska,8E,4,4,5,3,2
Fabian,Tomaszewski,8C,3,2,5,2,5
Michał,Krupa,2D,3,3,3,3,5
Ernest,Brzeziński,8C,3,3,4,3,5
Ireneusz,Marciniak,8F,2,4,4,4,5
Artur,Zawadzki,2A,2,4,1,3,4
Cezary,Górski,8F,2,3,2,2,3
Mirosław,Piotrowski,4D,5,5,4,1,5
Cyprian,Chmielewski,5D,2,3,5,2,2
Bartosz,Włodarczyk,1F,2,3,3,3,1
Kajetan,Mazur,1F,1,3,3,1,4
Franciszek,Wróblewski,7C,5,5,5,4,2
Ludwik,Mróz,7C,5,4,5,1,1
Dominik,Michalak,5E,5,1,5,4,1
Eugeniusz,Zalewski,2E,1,1,4,5,1
Mikołaj,Jankowski,2D,2,1,5,5,1
Przemysław,Wróblewski,7B,4,3,1,1,1
Amadeusz,Pietrzak,4B,2,5,5,1,1
Maksymilian,Kalinowski,4E,2,3,4,1,2
Lucjan,Zieliński,8E,4,2,3,3,5
Konstanty,Nowak,3A,4,4,1,5,5
Hubert,Walczak,6E,2,5,5,2,3
Dorian,Tomaszewski,7E,3,5,4,5,3
Krystian,Wojciechowski,1F,1,2,4,5,2
Amadeusz,Witkowski,8A,2,3,1,4,5
Borys,Błaszczyk,4A,1,3,4,4,5
Amir,Kozłowski,4B,1,2,4,1,3
Mirosław,Sokołowski,7D,3,3,5,4,1
Cezary,Kowalczyk,2D,1,1,1,1,3
Kacper,Szymański,6B,3,4,2,2,3
Korneliusz,Kamiński,7B,1,4,4,4,4
Roman,Kucharski,7C,4,2,4,3,5
Gabriel,Jaworski,8C,2,2,4,4,1
Dominik,Borkowski,3E,2,2,2,2,3
Patryk,Włodarczyk,8A,3,2,3,3,4
Florian,Piotrowski,1D,3,5,3,2,3
Olgierd,Zieliński,7B,5,5,5,5,1
Alek,Kubiak,7E,3,4,1,2,3
Grzegorz,Kwiatkowski,4A,2,4,3,2,1
Arkadiusz,Pawlak,2F,3,1,4,1,4
Kewin,Mazurek,7A,5,2,1,3,5
Joachim,Szymański,7D,1,4,1,4,4
Ariel,Mazur,3E,1,5,4,4,4
Kacper,Jakubowski,6F,4,2,1,4,4
Anatol,Laskowska,6E,2,3,3,5,1
Ryszard,Kowalski,4E,5,3,4,5,3
Andrzej,Przybylski,2F,4,1,3,2,5
Kewin,Szymczak,1E,5,5,1,3,1
Dariusz,Walczak,2B,4,5,3,4,1
Allan,Marciniak,2F,5,4,3,1,1
Olaf,Adamska,5E,2,4,4,4,1
Juliusz,Błaszczyk,5A,2,3,5,5,1
Kewin,Stępień,6B,2,4,3,5,3
Albert,Mazur,3A,1,5,1,2,3
Kacper,Kaczmarczyk,6C,4,2,5,4,3
Igor,Sadowska,1F,2,5,2,3,4
Jarosław,Krawczyk,8F,1,3,1,5,2
Łukasz,Witkowski,4B,3,1,2,1,1
Maciej,Michalak,7F,4,2,4,5,1
Kryspin,Ziółkowska,2B,4,3,3,3,3
Dariusz,Sobczak,1F,5,1,1,4,3
Michał,Włodarczyk,5B,1,3,3,5,4
Miłosz,Głowacka,2A,3,1,1,1,4
Grzegorz,Urbańska,1D,3,4,4,4,1
Marek,Kaźmierczak,2B,4,4,1,1,1
Eustachy,Rutkowski,4D,3,5,3,3,3
Kazimierz,Szulc,4D,3,3,2,5,4
Mirosław,Wasilewska,6D,2,5,1,5,2
Igor,Jakubowski,5C,3,3,2,5,1
Kacper,Maciejewski,1F,1,2,3,2,2
Kornel,Tomaszewski,2F,3,4,5,1,4
Aleks,Zakrzewska,1F,2,2,5,2,4
Jan,Szewczyk,6C,3,5,4,3,2
Diego,Jankowski,4A,3,2,2,5,5
Piotr,Stępień,2D,1,4,1,2,2
Grzegorz,Wiśniewski,3A,1,1,3,3,3
Florian,Maciejewski,1E,1,5,2,1,3
Natan,Wojciechowski,5E,1,2,3,2,3
Ludwik,Wójcik,6F,1,3,4,5,2
Gabriel,Kaźmierczak,6A,3,4,3,1,1
Bolesław,Woźniak,3E,1,4,2,5,1
Lucjan,Włodarczyk,2E,3,5,3,3,5
Remigiusz,Gajewska,5F,3,2,1,2,1
Denis,Kowalski,3C,5,5,2,3,1
Mariusz,Lis,2A,5,4,3,5,1
Marek,Malinowski,4A,5,4,3,1,5
Anatol,Nowak,3C,1,1,3,2,1
Alexander,Ostrowski,7F,4,4,5,5,4
Józef,Ostrowski,1D,5,5,5,5,5
Lucjan,Malinowski,8D,4,2,1,4,1
Korneliusz,Marciniak,2B,5,4,3,3,5
Ignacy,Sikora,5A,4,1,2,1,4
Mariusz,Wojciechowski,7B,5,2,2,1,4
Miłosz,Michalak,6C,4,5,2,3,5
Hubert,Urbańska,6B,3,4,3,1,5
Kacper,Wiśniewski,3F,3,5,3,2,2
Alojzy,Kowalczyk,6C,2,1,1,2,1
Marian,Andrzejewski,4E,4,4,4,3,2
Radosław,Krupa,8E,1,1,1,5,2
Aleksander,Przybylski,5B,5,3,5,4,1
Martin,Mróz,5F,2,1,2,2,5
Emil,Zawadzki,8C,3,2,4,2,3
Bruno,Tomaszewski,7F,4,2,3,5,1
Kordian,Krajewska,6D,5,5,5,4,4
Dominik,Włodarczyk,1F,2,5,3,4,3
Jakub,Szulc,1B,1,3,2,1,1
Bolesław,Maciejewski,3C,4,5,5,2,4
Jakub,Sobczak,6A,1,3,1,1,2
Bartosz,Szewczyk,3D,5,2,5,4,4
Edward,Czerwiński,3E,1,1,3,3,3
Gracjan,Kowalczyk,4B,4,1,3,2,1
Bronisław,Kaczmarczyk,3F,5,3,2,4,5
Gustaw,Sokołowski,2F,1,5,1,1,1
Anatol,Kowalczyk,6A,5,4,2,4,4
Dariusz,Krupa,7C,3,2,3,2,1
Józef,Stępień,4D,1,3,1,2,1
Arkadiusz,Czerwiński,1F,3,2,5,5,3
Cezary,Wasilewska,1C,4,5,5,2,4
Eustachy,Mazur,5F,2,5,4,3,3
Allan,Szewczyk,8C,2,5,5,4,1
Anatol,Przybylski,4A,3,5,1,3,3
Dariusz,Woźniak,2F,2,5,5,4,5
Remigiusz,Jaworski,3C,3,5,1,5,1
Maurycy,Kaźmierczak,1B,2,2,3,4,5
Mirosław,Maciejewski,5C,5,2,3,2,4
Jędrzej,Sikorska,4A,3,2,4,1,1
Bolesław,Gajewska,5D,5,4,5,2,4
Adrian,Chmielewski,7B,5,1,5,4,4
Robert,Kubiak,5A,3,1,1,2,4
Czesław,Duda,4F,5,5,2,2,3
Borys,Lis,1D,1,3,1,4,4
Ksawery,Laskowska,7D,5,5,1,4,4
Maurycy,Kubiak,1E,4,5,2,4,4
Kryspin,Makowski,5E,4,1,2,3,4
Krystian,Błaszczyk,3E,5,4,2,5,1
Hubert,Sikora,7D,5,2,3,2,3
Norbert,Kaczmarczyk,1F,3,5,2,1,2
Cezary,Zalewski,3B,1,2,3,1,2
Henryk,Włodarczyk,3B,2,2,4,2,3
Błażej,Zakrzewska,1E,4,2,5,2,5
Jarosław,Zawadzki,5E,1,5,3,1,5
Gabriel,Borkowski,8D,2,4,1,4,3
Dariusz,Sawicki,1C,4,1,1,3,5
Kajetan,Bąk,2C,4,2,5,3,4
Marek,Sawicki,1A,2,4,2,5,1
Kamil,Krupa,7A,2,3,2,1,3
Anatol,Krupa,5E,2,3,4,2,4
Eryk,Wasilewska,3B,1,4,1,4,5
Remigiusz,Kołodziej,1F,5,1,5,4,5
Fabian,Szymański,1D,3,4,4,4,1
Kajetan,Sikora,8C,4,3,2,3,4
Jerzy,Przybylski,7B,3,5,5,4,2
Cyprian,Krawczyk,2B,4,5,2,2,2
Ludwik,Nowak,7D,3,3,3,4,2
Ireneusz,Nowak,8F,5,4,1,5,4
Michał,Zawadzki,2B,5,3,3,4,4
Alan,Gajewska,3A,2,3,4,3,1
Mirosław,Sokołowski,7D,5,4,3,5,4
Anastazy,Jasiński,6C,5,4,1,2,4
Remigiusz,Szymański,3D,1,1,2,3,2
Radosław,Michalak,3B,4,5,4,3,4
Jędrzej,Zakrzewska,3B,4,5,3,1,3
Alfred,Dąbrowski,6F,5,3,5,4,1
Bruno,Sobczak,8A,3,1,4,5,1
Konstanty,Cieślak,8E,3,4,1,3,3
Krystian,Kozłowski,5C,4,3,3,2,3
Marcin,Jakubowski,6A,5,1,5,4,4
Filip,Chmielewski,5A,4,3,4,2,1
Oktawian,Wojciechowski,4E,5,1,1,3,2
Andrzej,Krajewska,8D,5,3,1,4,2
Jacek,Wasilewska,2E,4,4,2,2,4
Borys,Duda,2F,3,1,3,5,2
Arkadiusz,Wójcik,1D,5,3,3,4,4
Heronim,Lis,2D,4,2,5,5,4
Juliusz,Wasilewska,7E,2,3,3,3,2
Alexander,Krawczyk,5D,4,3,2,4,4
Julian,Pietrzak,4E,3,3,5,1,2
Jędrzej,Szymczak,2F,5,1,2,2,3
Edward,Wasilewska,3C,2,1,1,4,4
Miłosz,Zakrzewska,8F,5,2,1,1,3
Kajetan,Błaszczyk,5E,1,5,4,1,3
Kuba,Kubiak,4C,2,4,5,3,4
Maurycy,Jasiński,6C,4,1,3,4,2
Dariusz,Borkowski,3C,1,5,3,5,2
Andrzej,Baranowski,5B,3,1,5,4,3
Patryk,Witkowski,1B,3,3,3,1,4
Antoni,Mróz,7E,5,5,5,4,2
Kryspin,Piotrowski,1E,1,3,1,5,1
Janusz,Woźniak,3B,1,4,2,2,5
Konstanty,Szulc,3C,3,4,5,4,3
Ryszard,Sadowska,4F,4,2,2,4,2
Jerzy,Piotrowski,1A,1,3,1,2,1
Miron,Czarnecki,4E,3,3,5,2,2
Michał,Lis,4A,3,3,1,5,3
Czesław,Borkowski,8E,3,5,5,4,3
Lucjan,Kowalski,3D,4,2,3,1,1
Kazimierz,Szewczyk,4B,2,4,5,1,2
Kacper,Dąbrowski,8D,4,5,3,3,4
Aleksander,Makowski,1A,3,2,5,1,5
Milan,Ziółkowska,6D,1,3,1,1,2
Martin,Gajewska,5E,4,1,4,4,2
Ireneusz,Czarnecki,1B,3,2,5,2,4
Jacek,Czerwiński,8E,4,1,2,3,1
Jarosław,Stępień,6F,4,4,1,1,2
Adrian,Pawlak,6D,4,3,3,4,1
Jerzy,Laskowska,1C,4,5,2,3,1
Rafał,Błaszczyk,7B,1,4,1,4,4
Bartosz,Cieślak,6B,4,5,4,5,1
Bartosz,Przybylski,4C,4,1,2,1,5
Bogumił,Szczepański,7C,1,2,3,3,4
Radosław,Kubiak,4A,3,5,1,3,2
Janusz,Czarnecki,6E,1,3,3,2,1
Błażej,Zawadzki,1F,2,3,2,1,5
Kamil,Szymczak,8F,2,2,4,1,1
Olgierd,Zalewski,6F,5,2,2,1,3
Eugeniusz,Górecki,1D,5,2,1,2,5
Oskar,Wiśniewski,7B,4,5,1,2,1
Jerzy,Pawlak,7E,5,4,4,2,4
Remigiusz,Tomaszewski,7A,1,2,4,2,3
Paweł,Wróblewski,6D,4,5,5,1,2
Kazimierz,Laskowska,6E,1,2,3,4,4
Ryszard,Górecki,5D,5,2,3,2,2
Olaf,Mazur,2B,1,3,3,1,5
Fabian,Bąk,4D,2,4,1,1,2
Artur,Mazurek,8E,5,2,1,1,5
Ireneusz,Adamska,1A,2,2,2,4,5
Kazimierz,Czerwiński,7E,4,2,2,4,1
Olaf,Mazur,4C,5,1,5,5,2
Leszek,Wiśniewski,7D,2,1,4,1,1
Patryk,Adamska,3C,2,3,5,4,4
Maurycy,Kucharski,2B,2,4,1,5,1
Artur,Michalak,1D,2,5,1,1,5
Kamil,Baran,4C,3,1,3,5,4
Mirosław,Nowak,5D,5,2,1,2,2
Igor,Makowski,5A,2,3,2,5,5
Piotr,Kubiak,8C,2,2,1,1,5
Emanuel,Lis,5F,3,4,4,5,5
Czesław,Stępień,7C,1,5,5,5,1
Remigiusz,Kamiński,8D,4,5,4,1,4
Igor,Urbańska,6D,2,2,1,3,2
Robert,Zakrzewska,8C,4,1,1,3,3
Ignacy,Przybylski,3A,2,3,3,1,3
Diego,Wójcik,3D,5,1,5,3,3
Maciej,Krupa,5A,3,1,2,4,5
Piotr,Tomaszewski,5F,5,2,4,5,1
Ignacy,Urbańska,6A,5,4,1,3,1
Dominik,Szewczyk,5F,5,4,3,2,2
Norbert,Wiśniewski,8F,4,5,3,4,4
Kryspin,Baran,2E,4,1,5,1,3
Przemysław,Stępień,6C,2,1,5,2,3
Józef,Kamiński,2F,5,5,2,4,4
Denis,Chmielewski,6E,3,5,5,3,1
Joachim,Szymczak,8C,2,1,1,4,5
Gabriel,Laskowska,1F,5,2,2,4,5
Edward,Kołodziej,1A,2,5,1,1,4
Remigiusz,Ziółkowska,8E,2,5,1,5,4
Eugeniusz,Szewczyk,5A,2,4,5,5,4
